panel_uid,source_record_id,source_doi,source_doi_url,paper_title,figure_id,panel_id,panel_label,panel_type_anchoring,panel_type_curve_extraction,plot_area_box_cropped,x_axis_label,x_axis_units,x_axis_type,x_tick_labels,y_axis_label,y_axis_units,y_axis_type,y_tick_labels,legend_entries,raw_curve_count_current_response,publication_included_panel,analysis_bucket,relevance_group,reaction_type_publication,final_HER_category,curve_family_publication,measurement_configuration_publication,electrolyte_text_publication,enrich_reaction_type_panel,enrich_electrolyte_family_panel,enrich_electrolyte_text_panel,enrich_curve_family_panel,enrich_measurement_configuration_panel,panel_enrichment_manual_review_required
batch2/case12/figure_7__panel_A,batch2/case12,10.1002/adfm.201505302,https://doi.org/10.1002/adfm.201505302,Bifunctional Porous NiFe/NiCo2O4/Ni Foam Electrodes with Triple Hierarchy and Double Synergies for Efficient Whole Cell Water Splitting,figure_7,a,A,line plot,polarization_curve_plot,"[98,13,466,286]",E,V vs. RHE,linear,"[""-0.6"",""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j,mA cm^-2,linear,"[""0"",""-40"",""-80"",""-120"",""-160"",""-200""]","[""NiFe/NiCo2O4/NF"",""NiFe/NF"",""NiCo2O4/NF"",""NF""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 m KOH,HER,alkaline,1 m KOH,lsv,three_electrode_half_cell,False
batch2/case12/figure_7__panel_C,batch2/case12,10.1002/adfm.201505302,https://doi.org/10.1002/adfm.201505302,Bifunctional Porous NiFe/NiCo2O4/Ni Foam Electrodes with Triple Hierarchy and Double Synergies for Efficient Whole Cell Water Splitting,figure_7,c,C,line plot,polarization_curve,"[97,42,467,314]",E / V vs. RHE,V vs. RHE,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j / mA cm^-2,mA cm^-2,linear,"[""0"",""-40"",""-80"",""-120"",""-160"",""-200""]","[""NiFe/NiCo2O4/NF"",""After 1000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,1 m KOH,HER,alkaline,1 m KOH,polarization_curve,three_electrode_half_cell,False
batch2/case13/figure_6__panel_a,batch2/case13,10.1002/adfm.201505402,https://doi.org/10.1002/adfm.201505402,"Layered Platinum Dichalcogenides (PtS2, PtSe2, and PtTe2) Electrocatalysis: Monotonic Dependence on the Chalcogen Size",figure_6,a,a),line_plot,polarization_curve_plot,"[82,8,469,210]",E / V (vs. RHE),V (vs. RHE),linear,"[""-1"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0"",""0.2""]",j / mA cm^-2,mA cm^-2,linear,"[""0"",""-2"",""-4"",""-6"",""-8"",""-10""]","[""PtS2-Unt"",""PtS2-Ox"",""PtS2-Red"",""Pt/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,H2SO4 (0.5 M),HER,acidic,H2SO4 (0.5 M),lsv,three_electrode_half_cell,False
batch2/case13/figure_6__panel_c,batch2/case13,10.1002/adfm.201505402,https://doi.org/10.1002/adfm.201505402,"Layered Platinum Dichalcogenides (PtS2, PtSe2, and PtTe2) Electrocatalysis: Monotonic Dependence on the Chalcogen Size",figure_6,c,c,line_plot,LSV/polarization,"[68,18,457,220]",E / V (vs. RHE),V (vs. RHE),linear,"[""-1"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0"",""0.2""]",j / mA cm^-2,mA cm^-2,linear,"[""0"",""-2"",""-4"",""-6"",""-8"",""-10""]","[""PtSe2-Unt"",""PtSe2-Ox"",""PtSe2-Red"",""Pt/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,H2SO4 (0.5 m),HER,acidic,H2SO4 (0.5 m),lsv,three_electrode_half_cell,False
batch2/case13/figure_6__panel_e,batch2/case13,10.1002/adfm.201505402,https://doi.org/10.1002/adfm.201505402,"Layered Platinum Dichalcogenides (PtS2, PtSe2, and PtTe2) Electrocatalysis: Monotonic Dependence on the Chalcogen Size",figure_6,e,e,line plot,LSV,"[69,8,457,211]",E / V (vs. RHE),V,linear,"[""-1"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0"",""0.2""]",j / mA cm²,mA cm^-2,linear,"[""0"",""-2"",""-4"",""-6"",""-8"",""-10""]","[""PtTe2-Unt"",""PtTe2-Ox"",""PtTe2-Red"",""Pt/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,H2SO4 (0.5 m),HER,acidic,H2SO4 (0.5 m),lsv,three_electrode_half_cell,False
batch2/case14/figure_6__panel_a,batch2/case14,10.1002/adfm.201505626,https://doi.org/10.1002/adfm.201505626,"Efficient and Stable Bifunctional Electrocatalysts Ni/NixMy (M = P, S) for Overall Water Splitting",figure_6,a,a,polarization_curve_plot,polarization,"[69.0,5.0,473.0,300.0]",Potential vs. RHE,V,linear,"[""-0.30"",""-0.25"",""-0.20"",""-0.15"",""-0.10"",""-0.05"",""0.00""]",Current Density,mA/cm^2,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50"",""-60""]","[""Ni foam"",""Ni/NiP"",""Ni/NiS"",""Ni/Pt-C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,H2-saturated 1.0 m KOH solution,HER,alkaline,H2-saturated 1.0 m KOH solution,lsv,three_electrode_half_cell,False
batch2/case15/figure_3__panel_a,batch2/case15,10.1002/adfm.201600076,https://doi.org/10.1002/adfm.201600076,Carbon-Based Composite as an Efficient and Stable Metal-Free Electrocatalyst,figure_3,a,a,xy line plot,polarization plot,"[58,18,436,295]",Potential (V vs RHE),V vs RHE,linear,"[""-0.2"",""-0.1"",""0.0""]",j (mA cm^-2),mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""Pt"",""VA-GNRs"",""1 h"",""2 h"",""3 h"",""4 h""]",6,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4 (sparged with pure H2),HER,acidic,0.5 M H2SO4 (sparged with pure H2),lsv,three_electrode_half_cell,False
batch2/case15/figure_3__panel_e,batch2/case15,10.1002/adfm.201600076,https://doi.org/10.1002/adfm.201600076,Carbon-Based Composite as an Efficient and Stable Metal-Free Electrocatalyst,figure_3,e,e,2D line plot,polarization_curve,"[8,7,447,284]",Potential,V vs RHE,linear,"[""-0.2"",""-0.1"",""0.0""]",j,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100"",""-120""]","[""Initial"",""After 3000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch2/case18/figure_4__panel_a,batch2/case18,10.1002/adfm.201600915,https://doi.org/10.1002/adfm.201600915,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,figure_4,a,a,polarization curve line plot,polarization plot,"[85.0,11.0,481.0,349.0]",Potential,V vs RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0"",""0.1""]",j,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100"",""-120""]","[""I"",""II"",""III"",""IV"",""V"",""VI""]",6,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch2/case18/figure_5__panel_a,batch2/case18,10.1002/adfm.201600915,https://doi.org/10.1002/adfm.201600915,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,figure_5,a,a,polarization curve line plot,polarization_curve,"[89.0,10.0,489.0,353.0]",Potential (V vs RHE),V vs RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0"",""0.1""]",j (mA cm^-2),mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100"",""-120""]","[""I (Mo2C)"",""II (Co-Mo2C-0.012)"",""III (Co-Mo2C-0.020)"",""IV (Co-Mo2C-0.035)"",""V (Co-Mo2C-0.049)"",""VI (commercial Pt/C)""]",6,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 m KOH,HER,alkaline,1.0 m KOH,lsv,three_electrode_half_cell,False
batch2/case18/figure_6__panel_a,batch2/case18,10.1002/adfm.201600915,https://doi.org/10.1002/adfm.201600915,Cobalt-Doping in Molybdenum-Carbide Nanowires Toward Efficient Electrocatalytic Hydrogen Evolution,figure_6,a,(a),multi-trace polarization line plot,polarization curve,"[103.0,12.0,552.0,397.0]",Potential,V vs RHE,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0"",""0.1""]",j,mA cm^-2,linear,"[""0"",""-40"",""-80"",""-120"",""-160""]","[""0.5 M H2SO4 initial"",""0.5 M H2SO4 after 3000 cycles"",""1.0 M KOH initial"",""1.0 M KOH after 3000 cycles""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,,HER,unclear,,lsv,three_electrode_half_cell,False
batch2/case19/figure_2__panel_A,batch2/case19,10.1002/adfm.201601315,https://doi.org/10.1002/adfm.201601315,"Overall Water Splitting Catalyzed Efficiently by an Ultrathin Nanosheet-Built, Hollow Ni3S2-Based Electrocatalyst",figure_2,a,A,2d_cartesian_multi_series_line_plot,polarization curve,"[81,7,485,360]",Potential,V vs RHE,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",j,mA/cm^2,linear,"[""0"",""-100"",""-200"",""-300"",""-400"",""-500""]","[""NF"",""Ni3S2/NF"",""20% Pt/C"",""MoOx/Ni3S2/NF""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,1 m KOH solution,HER,alkaline,1 m KOH solution,polarization_curve,three_electrode_half_cell,False
batch2/case19/figure_2__panel_D,batch2/case19,10.1002/adfm.201601315,https://doi.org/10.1002/adfm.201601315,"Overall Water Splitting Catalyzed Efficiently by an Ultrathin Nanosheet-Built, Hollow Ni3S2-Based Electrocatalyst",figure_2,d,D,line plot,polarization,"[82,46,472,369]",Potential,V vs RHE,linear,"[""-1.4"",""-1.2"",""-1.0"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",j,mA/cm^2,linear,"[""0"",""-120"",""-240"",""-360"",""-480"",""-600""]","[""1st cycle"",""5000th cycle"",""10000th cycle""]",3,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,1 M KOH solution,HER,alkaline,1 M KOH solution,polarization_curve,three_electrode_half_cell,False
batch2/case20/figure_1__panel_d,batch2/case20,10.1002/adfm.201601420,https://doi.org/10.1002/adfm.201601420,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,figure_1,d,d,electrochemical line plot,LSV polarization plot,"[115.0,3.0,514.0,344.0]",E vs RHE,V,linear,"[""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",j,mA/cm^2,linear,"[""0"",""-20"",""-40"",""-60"",""-80""]","[""Ni2P"",""Ni1.8Co0.2P"",""Ni1.4Co0.6P"",""Ni1.2Co0.8P"",""NiCoP"",""Ni0.7Co1.3P"",""Pt/C""]",7,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 m H2SO4 electrolyte solution,HER,acidic,0.5 m H2SO4 electrolyte solution,lsv,three_electrode_half_cell,False
batch2/case20/figure_3__panel_e,batch2/case20,10.1002/adfm.201601420,https://doi.org/10.1002/adfm.201601420,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,figure_3,e,e,xy_plot,LSV,"[98.0,30.0,455.0,329.0]",E vs RHE,V,linear,"[""-0.6"",""-0.4"",""-0.2"",""0.0""]",j,mA/cm^2,linear,"[""0"",""-30"",""-60"",""-90"",""-120""]","[""rGO"",""NiCoP"",""NiCoP/rGO"",""Pt/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 m H2SO4,HER,acidic,0.5 m H2SO4,lsv,three_electrode_half_cell,False
batch2/case20/figure_4__panel_a,batch2/case20,10.1002/adfm.201601420,https://doi.org/10.1002/adfm.201601420,Mechanistic Insights on Ternary Ni2-xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting | Mechanistic Insights on Ternary Ni2−xCoxP for Hydrogen Evolution and Their Hybrids with Graphene as Highly Efficient and Robust Catalysts for Overall Water Splitting,figure_4,a,a,xy line plot,polarization_curve,"[93,12,490,358]",E vs RHE,V,linear,"[""-1.0"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",j,mA/cm^2,linear,"[""0"",""-20"",""-40"",""-60"",""-80""]","[""0.5 M H2SO4"",""1.0 M PBS buffer"",""1.0 M KOH""]",3,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,"various pH electrolytes: 0.5 M H2SO4, 1.0 M PBS buffer, and 1.0 M KOH",HER,other,"various pH electrolytes: 0.5 M H2SO4, 1.0 M PBS buffer, and 1.0 M KOH",polarization_curve,three_electrode_half_cell,False
batch2/case21/figure_6__panel_c,batch2/case21,10.1002/adfm.201601581,https://doi.org/10.1002/adfm.201601581,Electro-Oxidation of Ni42 Steel: A Highly Active Bifunctional Electrocatalyst,figure_6,c,c,line_plot,HER polarization curve,"[108.0,20.0,657.0,422.0]",Overpotential,mV,linear,"[""400"",""300"",""200"",""100"",""0""]",Current density,mA/cm^2,linear,"[""10"",""0"",""-10"",""-20"",""-30"",""-40"",""-50"",""-60"",""-70""]","[""1 M KOH"",""0.5 M H2SO4""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,curve-specific electrolyte; see curve overrides (0.5 M H2SO4 or 1 M KOH),HER,other,curve-specific electrolyte; see curve overrides (0.5 M H2SO4 or 1 M KOH),polarization_curve,three_electrode_half_cell,False
batch2/case25/figure_4__a,batch2/case25,10.1002/adfm.201603504,https://doi.org/10.1002/adfm.201603504,2D Thin Nanoflakes Assembled on Mesoporous Carbon Nanorods for Enhancing Electrocatalysis and for Improving Asymmetric Supercapacitors,figure_4,a,(a),multi-series polarization plot,polarization_curve,"[111.0,26.0,466.0,286.0]",Potential,V vs. RHE,linear,"[""-0.6"",""-0.4"",""-0.2"",""0.0""]",Current,mA cm^-2,linear,"[""0"",""-10"",""-20"",""-30""]","[""A: Pt/C"",""B: MoS2@OMCRs"",""C: MoS2@CNFs"",""D: MoS2"",""E: OMCRs""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4 electrolyte (purged with N2),HER,acidic,0.5 M H2SO4 electrolyte (purged with N2),lsv,three_electrode_half_cell,False
batch2/case25/figure_4__c,batch2/case25,10.1002/adfm.201603504,https://doi.org/10.1002/adfm.201603504,2D Thin Nanoflakes Assembled on Mesoporous Carbon Nanorods for Enhancing Electrocatalysis and for Improving Asymmetric Supercapacitors,figure_4,c,(c),2d line plot,polarization_curve,"[111.0,72.0,472.0,340.0]",Potential (V) vs. RHE,V,linear,"[""-0.4"",""-0.2"",""0.0"",""0.2""]",Current (mA cm^-2),mA cm^-2,linear,"[""0"",""-5"",""-10"",""-15"",""-20"",""-25""]","[""Initial cycle"",""After 1000 cycle""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,0.5 m H2SO4,HER,acidic,0.5 m H2SO4,polarization_curve,three_electrode_half_cell,False
batch2/case26/figure_3__panel_a,batch2/case26,10.1002/adfm.201603727,https://doi.org/10.1002/adfm.201603727,Ternary Metal Phosphide with Triple-Layered Structure as a Low-Cost and Efficient Electrocatalyst for Bifunctional Water Splitting,figure_3,a,a,2d line plot with multiple polarization curves,polarization_curve,"[81,13,543,357]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""NiP"",""Ni0.71Co0.29P"",""Ni0.62Co0.38P"",""Ni0.51Co0.49P"",""Ni0.23Co0.77P"",""CoP""]",6,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch2/case28/figure_6__a,batch2/case28,10.1002/adfm.201604943,https://doi.org/10.1002/adfm.201604943,Activating Basal Planes and S-Terminated Edges of MoS2 toward More Efficient Hydrogen Evolution,figure_6,a,(a),polarization curve line plot,polarization curve plot,"[108.0,14.0,566.0,352.0]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""20"",""0"",""-20"",""-40"",""-60"",""-80"",""-100"",""-120""]","[""PRMoSx@CC"",""SMoSx@CC"",""HRMoSx@CC"",""Carbon Cloth""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch2/case28/figure_6__c,batch2/case28,10.1002/adfm.201604943,https://doi.org/10.1002/adfm.201604943,Activating Basal Planes and S-Terminated Edges of MoS2 toward More Efficient Hydrogen Evolution,figure_6,c,(c),xy_plot,polarization_curve,"[108,38,565,377]",Potential (V vs. RHE),V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density (mA cm$^{-2}$),mA cm$^{-2}$,linear,"[""20"",""0"",""-20"",""-40"",""-60"",""-80"",""-100"",""-120""]","[""Initial"",""After 3000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,polarization_curve,three_electrode_half_cell,False
batch2/case28/figure_6__d,batch2/case28,10.1002/adfm.201604943,https://doi.org/10.1002/adfm.201604943,Activating Basal Planes and S-Terminated Edges of MoS2 toward More Efficient Hydrogen Evolution,figure_6,d,(d),2d line plot,polarization curve,"[121.0,6.0,578.0,345.0]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""20"",""0"",""-20"",""-40"",""-60"",""-80"",""-100"",""-120""]","[""Initial"",""3000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch2/case28/figure_6__e,batch2/case28,10.1002/adfm.201604943,https://doi.org/10.1002/adfm.201604943,Activating Basal Planes and S-Terminated Edges of MoS2 toward More Efficient Hydrogen Evolution,figure_6,e,(e),line plot,polarization_curve,"[108,14,565,352]",Potential,V vs. RHE,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""10"",""5"",""0"",""-5"",""-10"",""-15"",""-20"",""-25""]","[""Initial"",""After 3000 cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,polarization_curve,three_electrode_half_cell,False
batch2/case29/figure_3__panel_a,batch2/case29,10.1002/adfm.201605802,https://doi.org/10.1002/adfm.201605802,Interface Engineered WxC@WS2 Nanostructure for Enhanced Hydrogen Evolution Catalysis,figure_3,a,a,polarization_curve_line_plot,polarization_curve,"[72,21,421,333]",Potential (vs RHE),V,linear,"[""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0"",""0.1""]",Current density,mA/cm^2,linear,"[""5"",""0"",""-5"",""-10"",""-15"",""-20""]","[""Pure CF"",""W_xC 60 min"",""Pt foil"",""WS2 NTs"",""W_xC@WS2 20 min""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,lsv,three_electrode_half_cell,False
batch2/case29/figure_3__panel_e,batch2/case29,10.1002/adfm.201605802,https://doi.org/10.1002/adfm.201605802,Interface Engineered WxC@WS2 Nanostructure for Enhanced Hydrogen Evolution Catalysis,figure_3,e,e,line plot,polarization_curve,"[78,18,429,334]",Potential,vs RHE,linear,"[""-0.6"",""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0"",""0.1""]",Current density,mA/cm^2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""Initial"",""After 1000cycles""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,0.5 M H2SO4,HER,acidic,0.5 M H2SO4,polarization_curve,three_electrode_half_cell,False
batch2/case30/figure_5__panel_a,batch2/case30,10.1002/adfm.201606352,https://doi.org/10.1002/adfm.201606352,Mesh-on-Mesh Graphitic-C3N4@Graphene for Highly Efficient Hydrogen Evolution,figure_5,a,a,line chart,polarization_curve,"[79.0,15.0,469.0,308.0]",E / V vs. RHE,V vs. RHE,linear,"[""-0.6"",""-0.4"",""-0.2"",""0.0""]",J / mA cm^-2,mA cm^-2,linear,"[""0"",""-5"",""-10"",""-15"",""-20"",""-25""]","[""g-CNM"",""N-GM"",""g-CN/G MMs"",""g-CN@G MMs"",""Pt/C""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,polarization_curve,three_electrode_half_cell,0.5 M H2SO4 (degassed with N2),HER,acidic,0.5 M H2SO4 (degassed with N2),polarization_curve,three_electrode_half_cell,False
batch2/case31/figure_5__panel_c,batch2/case31,10.1002/adfm.201700451,https://doi.org/10.1002/adfm.201700451,Nanoporous Nitrogen-Doped Graphene Oxide/Nickel Sulfide Composite Sheets Derived from a Metal-Organic Framework as an Efficient Electrocatalyst for Hydrogen and Oxygen Evolution,figure_5,c,(c),electrochemical line plot with inset,lsv,"[75,42,482,369]",E,V vs RHE,linear,"[""-1.0"",""-0.8"",""-0.6"",""-0.4"",""-0.2"",""0.0""]",i,mA cm^-2,linear,"[""0"",""-10"",""-20"",""-30""]","[""NGO/Ni7S6"",""Pt""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,Ar-saturated 1.0 M KOH,HER,alkaline,Ar-saturated 1.0 M KOH,lsv,three_electrode_half_cell,False
batch2/case31/figure_6__panel_b,batch2/case31,10.1002/adfm.201700451,https://doi.org/10.1002/adfm.201700451,Nanoporous Nitrogen-Doped Graphene Oxide/Nickel Sulfide Composite Sheets Derived from a Metal-Organic Framework as an Efficient Electrocatalyst for Hydrogen and Oxygen Evolution,figure_6,b,(b),2d Cartesian electrochemical line/scatter plot,LSV,"[80.0,9.0,496.0,344.0]",E / V vs RHE,V vs RHE,linear,"[""-0.4"",""-0.2"",""0.0"",""0.2"",""0.4""]",i / mA cm^-2,mA cm^-2,linear,"[""0"",""-5"",""-10"",""-15"",""-20"",""-25""]","[""Before"",""After""]",2,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1.0 M KOH,HER,alkaline,1.0 M KOH,lsv,three_electrode_half_cell,False
batch2/case35/figure_5__panel_a,batch2/case35,10.1002/adfm.201704177,https://doi.org/10.1002/adfm.201704177,Functional Defective Metal-Organic Coordinated Network of Mesostructured Nanoframes for Enhanced Electrocatalysis,figure_5,a,(a),line_plot,polarization_curve,"[111,18,495,326]",Potential,V vs RHE,linear,"[""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current Density,mA cm^-2,linear,"[""0"",""-20"",""-40"",""-60"",""-80"",""-100""]","[""CF-NFs"",""CF-ONFs"",""CF-NCs""]",3,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 M aqueous KOH,HER,alkaline,1 M aqueous KOH,lsv,three_electrode_half_cell,False
batch2/case38/figure_2__panel_a,batch2/case38,10.1002/adfm.201705136,https://doi.org/10.1002/adfm.201705136,"Reduced Graphene Oxide as a Catalyst Binder: Greatly Enhanced Photoelectrochemical Stability of Cu(In,Ga)Se2 Photocathode for Solar Water Splitting",figure_2,a,(a),2D multi-line linear sweep voltammetry plot,lsv,"[84.0,34.0,562.0,333.0]",Potential,V vs. RHE,linear,"[""-0.2"",""0.0"",""0.2"",""0.4"",""0.6""]",Current density,mA/cm^2,linear,"[""0"",""-8"",""-16"",""-24"",""-32""]","[""CdS"",""rGO-0.125"",""rGO-0.25"",""rGO-1.5"",""rGO-3""]",5,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,"phosphate buffer solution (0.5 M Na2SO4, 0.5 M Na2HPO4, and 0.5 M NaH2PO4; pH 6.8)",HER,buffered,"phosphate buffer solution (0.5 M Na2SO4, 0.5 M Na2HPO4, and 0.5 M NaH2PO4; pH 6.8)",lsv,three_electrode_half_cell,False
batch2/case43/figure_7__panel_e,batch2/case43,10.1002/adfm.201706917,https://doi.org/10.1002/adfm.201706917,NixSy Nanowalls/Nitrogen-Doped Graphene Foam Is an Efficient Trifunctional Catalyst for Unassisted Artificial Photosynthesis,figure_7,e,(e),2d line plot,HER LSV,"[96.0,31.0,490.0,325.0]",Potential vs RHE,V,linear,"[""-0.5"",""-0.4"",""-0.3"",""-0.2"",""-0.1"",""0.0""]",Current density,mA cm^-2,linear,"[""0"",""-20"",""-40""]","[""NGF"",""Ni_xS_y"",""Ni_xS_y NW/NGF"",""Pt/C""]",4,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 M KOH,HER,alkaline,1 M KOH,lsv,three_electrode_half_cell,False
batch2/case44/figure_5__panel_A,batch2/case44,10.1002/adfm.201707244,https://doi.org/10.1002/adfm.201707244,Room-Temperature Electrochemical Conversion of Metal-Organic Frameworks into Porous Amorphous Metal Sulfides with Tailored Composition and Hydrogen Evolution Activity,figure_5,a,A,line_plot,lsv_curve_plot,"[80.0,3.0,469.0,292.0]",Potential / V vs RHE,V vs RHE,linear,"[""-0.6"",""-0.4"",""-0.2"",""0.0""]",J / mA cm^-2,mA cm^-2,linear,"[""0"",""-10"",""-20"",""-30"",""-40"",""-50""]","[""FTO"",""Pt foil"",""Standard-CoSx"",""CoSx(0.5)"",""CoSx(0.2)"",""CoSx(0.02)"",""CoSx(0.2-0.02)"",""CoSx(0.2-0.02)-12""]",8,yes,primary_main_HER,HER electrocatalyst performance,HER,yes_main_HER,lsv,three_electrode_half_cell,1 M PBS buffer solution (pH = 7),HER,buffered,1 M PBS buffer solution (pH = 7),lsv,three_electrode_half_cell,False
